property_name,property_type,society,sector,price,pricepersqft,area,areaWithType,bedRoom,bathroom,balcony,address,floorNum,facing,agePossession,nearbyLocations,description,rating,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,Water Purifier,Chimney,Fridge,Washing Machine,Geyser,Dining Table,AC,Modular Kitchen,Fan,Light,Sofa,Bed,Microwave,Exhaust Fan,TV,Wardrobe,Stove,Curtains,furnish_type,luxury_score,area_room_ratio,latitude,longitude
3 BHK Flat in Kokapet,flat,Frontline Seven,kokapet,1.6,8226.221079691517,1945.0,Super Built up area 1945(180.7 sq.m.),3.0,3.0,1,"Kokapet, Hyderabad, Hyderabad",8.0,West,New Property,15.0,"Frontline seven apartments is a premium residential project located in kokapet, hyderabad. The project is spread over an area of 7 acres and has a total of 670 units with 12 floors in each block. This apartment is located in b block, 8th floor with west facing. It has great views to park from the balcony. This apartment comes with two dedicated parking spaces for your family!! Included in the listing price. The 3 bhk apartments at frontline seven are spacious and well designed. The apartments have a large living area, a dining area, and a kitchen. The bedrooms are also spacious and have attached bathrooms. Here are some of the key features of the 3 bhk apartments at frontline seven: Spacious and well designed apartments 3 bedrooms, 3 bathrooms, and a balcony swimming pool, gym, club house, multi purpose hall, dedicated space for various sports & recreation area. Check the attached images for list of amenities. Amenities are not included in the listing price. Prime location in kokapet if you are looking for a luxurious and comfortable home in kokapet, then this apartment is the perfect choice for you.","['Environment4 out of 5', 'Safety4 out of 5', 'Connectivity4.1 out of 5', 'Lifestyle4 out of 5']",1945.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,648.3333333333334,17.3933,78.3411
3 BHK Flat in Ameerpet,flat,Aditya Enclave,ameerpet,0.99,7001.414427157001,1414.0,Super Built up area 1420(131.92 sq.m.),3.0,2.0,3,"Vindhya Block, Aditya Enclave,ameerpet, Ameerpet, Hyderabad, Hyderabad",1.0,North,Old Property,50.0,"This 3 bhk apartment is available for sale in vindhya block, one of the most prominent projects for flats in ameerpet, hyderabad. This residential flat is north-Facing direction. The floor plan additionally contains 3 bedroom(s), 2 bathrooms and 3 balconies. All in all, the flat is spread over a super built up area of 1420 sq.Ft. This flat lies on the 1st level of a 6 storey building. An added advantage of this 10+ years old flat is that it is available for immediate possession as the project is already ready to move. The well built marble flooring enhances the aesthetic appeal of this flat. This residential property is situated near close to metro station and close to market. All the modern amenities such as maintenance staff, lift(s) and security personnel will make life easier for you. The residential project is well equipped to meet all your water needs through access to municipal corporation and borewell/tank supply. We are the proud owners of this 3 bhk apartment available in vindhya block of aditya enclave, ameerpet, hyderabad. This is located on 1st floor and has a super built-Up area of 1420 sq.Ft. . It has 2 bathroom(s) and 3 balcony(s). The ownership is freehold type.","['Environment3.8 out of 5', 'Safety4.2 out of 5', 'Connectivity4.5 out of 5', 'Lifestyle4.4 out of 5']",1420.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,84.0,471.3333333333333,17.4375,78.4482
2 BHK Flat in Kompally,flat,Indis VB City,kompally,0.59,7007.125890736342,842.0,Carpet area: 842 (78.22 sq.m.),2.0,2.0,2,"F 209, Kompally, Secunderabad, Hyderabad",2.0,East,New Property,5.0,"2bhk flat/apartment for sale in indis vb city, kompally, secunderabad, hyderabadWelcome to your dream home! We are delighted to present this exquisite semi furnished 3bhk residential apartment situated in indis vb city, kompally, secunderabad, hyderabad. This meticulously designed apartment offers a perfect blend of style, comfort, and convenience for modern living.Property features:
Size and layout: Sprawling across a carpet area of 842 sqft, this 2bhk apartment provides ample space for a comfortable and spacious living experience.
 The thoughtfully planned layout encompasses a well-Defined living room,2 cozy bedrooms, a contemporary kitchen, 2 well-Appointed bathrooms, and 2 balconies with a servant room. The living room is designed to be the heart of the home, offering an inviting space for relaxation and entertainment.
Natural lighting and ventilation: Large windows throughout the apartment ensure an abundance of natural light, creating a bright and airy atmosphere. Proper ventilation enhances airflow, maintaining a fresh and pleasant living environment.
Prime location: This residential apartment is located in a highly sought-After neighborhood, known for its convenience and connectivity. Close proximity to schools, hospitals, shopping centers, and recreational facilities makes it an ideal choice for families. Well-Developed infrastructure and excellent transportation links provide easy access to major city destinations.
Additional amenities: Maintenance staff, water storage, park, visitor parking, security / fire alarm, feng shui / vaastu compliant, intercom facility, lift(s), water purifier, park, natural light, airy rooms, spacious interiors, waste disposal, rain water harvesting.Don't miss this opportunity to make this furnished 2bhk apartment your new home. Wait no more and schedule a tour today.
For more details, kindly contact the owner.","['Environment4.3 out of 5', 'Safety4.3 out of 5', 'Connectivity4.4 out of 5', 'Lifestyle4.4 out of 5']",,,842.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,1.0,182.0,421.0,17.5366,78.4845
3 BHK Flat in Kompally,flat,SIGNATURE HOMES,kompally,0.91,5498.489425981873,1655.0,Super Built up area 1960(182.09 sq.m.)Carpet area: 1650 sq.ft. (153.29 sq.m.),3.0,3.0,1,"Kompally, Secunderabad, Hyderabad",5.0,East,New Property,37.0,"Well maintained facilities, spacious and ventilated space for accommodation. Every floor has a single flat only so consumer privacy is what make this property unique.","['Environment4.3 out of 5', 'Safety4.3 out of 5', 'Connectivity4.4 out of 5', 'Lifestyle4.4 out of 5']",1960.0,,1650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,551.6666666666666,17.5366,78.4845
2 BHK Flat in Patancheru,flat,Tranquillo MPR Urban City,patancheru,0.45,4945.054945054945,910.0,Super Built up area 910(84.54 sq.m.),2.0,2.0,1,"Patancheru, Hyderabad, Hyderabad",5.0,East,New Property,10.0,"2bhk flat-East facing flat with fall ceilings available noise free ,good scenery as it's top floor in a fully gated community","['Environment4.1 out of 5', 'Safety4.1 out of 5', 'Connectivity4.3 out of 5', 'Lifestyle4.1 out of 5']",910.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,455.0,17.5287,78.2667
3 BHK Flat in Sri Balaji Layout,flat,SBC Pristine Place,sri balaji layout,0.75,4655.493482309124,1611.0,Super Built up area 1611(149.67 sq.m.),3.0,3.0,2,"308, Sri Balaji Layout, Hyderabad, Hyderabad",3.0,West,Old Property,50.0,Corner flat very well ventilated,,1611.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,28.0,537.0,17.5255,78.4233
2 BHK Flat in Manikonda,flat,RV Fortune Nest,manikonda,0.7,7777.777777777777,900.0,Built Up area: 1150 (106.84 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.),2.0,2.0,2,"Manikonda, Hyderabad, Hyderabad",5.0,West,Moderately Old,50.0,"This home is a great buy for a number of reasons. First, it is located in a desirable neighborhood that is close to both work and schools. The home is also fully furnished, which means that you can move right in and start enjoying your new space. The interior of the home is beautiful, with granite door frames and a great layout.Here are some more details about why this home is a great buy:* **location:** the home is located in a quiet, family-Friendly neighborhood that is close to both work and schools. The commute to work is just a 10-Minute drive, and there are several schools within walking distance.
* **furnished:** the home is fully furnished, so you can move right in and start enjoying your new space. The furniture is high-Quality and stylish, and the home is well-Appointed with everything you need to make it your own.
* **interior:** the interior of the home is beautiful, with granite door frames and a great layout. The living room is spacious and inviting, and the kitchen is well-Equipped with stainless steel appliances. The bedrooms are all a good size, and the master bedroom has its own private bathroom.If you are looking for a great home in a desirable location, this is the perfect place for you. The home is fully furnished and has a beautiful interior, so you can move right in and start enjoying your new space.","['Environment4.2 out of 5', 'Safety4.3 out of 5', 'Connectivity4.3 out of 5', 'Lifestyle4.4 out of 5']",,1150.0,900.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,3.0,9.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,21.0,450.0,17.4062,78.3763
3 BHK Flat in Mansoorabad,flat,Rainbow Towers,mansoorabad,1.25,10245.901639344262,1220.0,Built Up area: 1525 (141.68 sq.m.)Carpet area: 1220 sq.ft. (113.34 sq.m.),3.0,3.0,2,"Mansoorabad, Nh 9, Mansoorabad, Hyderabad, Hyderabad",2.0,East,New Property,50.0,"Name of the firm .Rainbow constructions
Name of the apartment .Rainbow towers
Flat size .1525 s.Ft.Super built up area
Undivided share . 60 sq.Yards
Quality of construction .Premium
Approved by .Ghmc and tsrera 
Loan facility approved by bank of baroda , hdfc bank
Possession july, 2023","['Environment4.2 out of 5', 'Safety4.2 out of 5', 'Connectivity4.1 out of 5', 'Lifestyle4.1 out of 5']",,1525.0,1220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,406.6666666666667,17.3427,78.5735
2 BHK Flat in Malkajgiri,flat,Pallavi Aashray,malkajgiri,0.65,6372.549019607844,1020.0,Carpet area: 1020 (94.76 sq.m.),2.0,2.0,1,"Malkajgiri, Secunderabad, Hyderabad",2.0,North-East,Moderately Old,50.0,"This property is well maintained and has all basic amenities. Good car parking. Proximity to all day to day necessities, schools, shopping malls. Very near to bus stop. Secunderabad railway station is 5km away. Mettuguda is nearest metro station.","['Environment4 out of 5', 'Safety4.3 out of 5', 'Connectivity4.3 out of 5', 'Lifestyle4.2 out of 5']",,,1020.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,56.0,510.0,17.4503,78.5322
2 BHK Flat in Aminpur,flat,Sunway Opus Grand Neville3.8 ★,aminpur,0.78,6718.346253229975,1161.0,Super Built up area 1161(107.86 sq.m.),2.0,2.0,1,"I10-01, Aminpur, Hyderabad, Hyderabad",0.0,East,Moderately Old,9.0,"East facing, corner flat, lake view point, garden side balcony, extra duct space, ground floor. It will be like a villa style surrounded by lush greenery","['Connectivity3.5 out of 5', 'Management3.9 out of 5', 'Amenities3.8 out of 5', 'Green Area3.9 out of 5', 'Construction3.8 out of 5']",1161.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,79.0,580.5,17.5171,78.3157
3 BHK Flat in Nallakunta,flat,sri balaji manasasarovar apartment,nallakunta,1.3,12380.952380952382,1050.0,Carpet area: 1050 (97.55 sq.m.),3.0,2.0,1,"Nallakunta, Hyderabad, Hyderabad",4.0,North,New Property,50.0,"Looking for a 3 bhk property for sale in hyderabad? Buy this 3 bhk flat in sri balaji manasasarovar apartment that is situated in nallakunta, hyderabad. Constructed on a carpet area of 1050 sq.Ft., the flat comprises 3 bedroom(s), 2 bathrooms and 1 balcony. The flat has a total of 5 floors and this property is situated on 4th floor. As the property is currently under construction , you can expect to get the possession within 6 months.","['Environment4 out of 5', 'Safety4.2 out of 5', 'Connectivity4.2 out of 5', 'Lifestyle4.2 out of 5']",,,1050.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,350.0,17.3991,78.5017
3 BHK Flat in Kokapet,flat,On Request,kokapet,1.3,7761.194029850746,1675.0,Carpet area: 1675 (155.61 sq.m.),3.0,3.0,2,"Kokapet, Hyderabad, Hyderabad",5.0,East,New Property,26.0,"Property is opp allu studios, kokapet in a prime location.All amenities 
Highlights
 2 car parkings
 Ev charging provision
 Kids & toddler play area
 Indoor games
 Well equipped ac gym 
 Yoga studio","['Environment4 out of 5', 'Safety4 out of 5', 'Connectivity4.1 out of 5', 'Lifestyle4 out of 5']",,,1675.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,558.3333333333334,17.3933,78.3411
3 BHK Flat in Chilkalguda,flat,Amsri Central Court,chilkalguda,1.35,7377.049180327869,1830.0,Built Up area: 1830 (170.01 sq.m.),3.0,3.0,2,"Chilkalguda, Secunderabad, Hyderabad",9.0,North-West,Old Property,50.0,"3bhk spacious flat for sale 1830 sft, well maintained gated community, corner flat, complete with all wood work, 2 covered car park. Close to secunderabad metro station and some of the best schools and market places.","['Environment3.7 out of 5', 'Safety4 out of 5', 'Connectivity4.2 out of 5', 'Lifestyle4 out of 5']",,1830.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,69.0,610.0,17.4282,78.5165
2 BHK Flat in Narsingi,flat,Accurate Wind Chimes,narsingi,0.94,8623.853211009175,1090.0,Built Up area: 1090 (101.26 sq.m.),2.0,2.0,1,"Narsingi, Hyderabad, Hyderabad",3.0,,Relatively New,25.0,"Check out this 2 bhk apartment for sale in accurate wind chimes, a popular residential project that houses in-Demand flats in narsingi, hyderabad. Containing 2 bedroom(s), 2 bathrooms and 1 balcony, this flat is spread over a built up area of 1090 sq.Ft. The residential building has 6 floors in total and the flat for sale is located on the 3rd floor. As the project is already ready to move, so you can easily move into this 1-5 years old property. The society is well equipped with many modern amenities, including swimming pool, grocery shop, shopping centre, club house / community center, cctv surveillance, fitness centre / gym, park and lift(s).","['Environment4.2 out of 5', 'Safety4.1 out of 5', 'Connectivity4.3 out of 5', 'Lifestyle4.3 out of 5']",,1090.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,545.0,17.3876,78.3572
2 BHK Flat in Suchitra,flat,Four blocks,suchitra,0.7,5468.75,1280.0,Built Up area: 1280 (118.92 sq.m.),2.0,2.0,2,"Suchitra, Secunderabad, Hyderabad",7.0,North,Under Construction,49.0,"This 2 bhk flat is located in four blocks, which houses some of the most spacious flats in suchitra, secunderabad. The flat is over 1280 sq.Ft. Built up area and comes with 2 bedroom(s), 2 bathrooms and 2 balconies. The residential building has 10 floors in total and the flat for sale is located on the 4th floor. As the property is currently under construction , you can expect to get the possession by september 2023.
Amenities charges 550000
Terrace swimming pool 
Fully skipped ac gym 
Dedicated joggings paths 
Yoga studio
Indoor games
Children play area 
Multipurpose hall
Guest bedroom","['Environment4.2 out of 5', 'Safety4.3 out of 5', 'Connectivity4.4 out of 5', 'Lifestyle4.4 out of 5']",,1280.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,640.0,17.5022,78.4716
3 BHK Flat in Narsingi,flat,Magic Breeze,narsingi,3.0,9590.79283887468,3128.0,Super Built up area 3128(290.6 sq.m.),3.0,3.0,3,"Narsingi, Hyderabad, Hyderabad",9.0,,New Property,5.0,"This beautiful 3 bhk flat in narsingi, hyderabad is situated in magic breeze, one of the popular residential society in hyderabad. Constructed on a super built up area of 3128 sq.Ft., the flat comprises 3 bedroom(s), 3 bathrooms and 3 balconies. The flat has a total of 10 floors and this property is situated on 9th floor. This residential flat is currently under construction and you can expect the possession of the same within 6 months. Many of the modern amenities being offered, like swimming pool, security personnel, maintenance staff, club house / community center, fitness centre / gym, park and lift(s), will provide a pleasant living experience for you.","['Environment4.2 out of 5', 'Safety4.1 out of 5', 'Connectivity4.3 out of 5', 'Lifestyle4.3 out of 5']",3128.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,77.0,1042.6666666666667,17.3876,78.3572
