Sector,Coordinates
Sector mehdipatnam,
Sector chakripuram,
Sector qutbullapur,
Sector dammaiguda,
Sector hmt swarnapuri colony,"Ameenpur, Miyapur, Hyderabad, Telangana"
Sector padma rao nagar,
Sector moosapet,
Sector indresham,
Sector jeedimetla,
Sector ram reddy colony,
Sector hmt nagar,"Nacharam, Secunderabad, Telangana 500007"
Sector vinayak nagar,
Sector srinivasa colony,"Boduppal, Secunderabad, Hyderabad, Telangana"
Sector kartikeya nagar,"Tarnaka, Secunderabad, Telangana 500076"
Sector hema nagar,"Boduppal, Secunderabad, Hyderabad, Telangana"
Sector gangaram,"Chanda Nagar, Hyderabad, Telangana 500133"
Sector bowenpally,
Sector ecil,
Sector new sayeedabad colony,"New Malakpet, Hyderabad, Telangana 500059"
Sector old alwal,
Sector kistareddypet,
Sector kanajiguda,"Alwal, Secunderabad, Telangana"
Sector mayuri nagar,
Sector wampugudem,"Overseas Gardens, Sainikpuri, Secunderabad, Telangana 500094"
Sector machabolaram,"Bolarum, Secunderabad, Telangana 500010"
Sector ahmedguda,
Sector golden heights colony,"Janachaitanya colony, Hyderabad, Telangana 500030"
Sector vittal rao nagar,
Sector chanakyapuri,"Hyderabad, Telangana 500068"
Sector bhavani nagar,
Sector nri colony,
Sector amberpet,
Sector hayat nagar,
Sector suraram,
Sector brindavan colony,"Toli Chowki, Hyderabad, Telangana 500008"
Sector friends colony,
Sector uma nagar,"Begumpet, Hyderabad, Telangana 500016"
Sector czech colony,"Sanath Nagar, Hyderabad, Telangana"
Sector samatha nagar,"Kukatpally, Hyderabad, Telangana 500085"
Sector narasimha colony,"Mallapur, Secunderabad, Telangana 500076"
Sector secunderabad,
Sector sriram nagar,"Laxmi Nagar, Kondapur, Hyderabad, Telangana 500084"
Sector upperpally,
Sector hasmatpet,
"Sector bandlaguda,nagole","Nagole, Hyderabad, Telangana 500068"
Sector sangeet nagar,"Kukatpally, Hyderabad, Telangana"
Sector malakpet,"Hyderabad, Telangana 500024"
Sector pati,"Patighanpur, Hyderabad, Telangana 502300"
Sector habeeb nagar,
Sector khairatabad,
Sector hanuman nagar colony,"Meerpet, Hyderabad, Telangana"
Sector tilak nagar,"Amberpet, Hyderabad, Telangana"
Sector prashanthi hills,"Almasguda, Hyderabad, Telangana"
Sector erragadda,
Sector thumkunta,
Sector canara nagar,"Peerzadiguda, Hyderabad, Telangana"
Sector kundanpally,
Sector bahadurpura,
Sector saidabad,
Sector dundigal,
Sector prasanthi nagar,"New Nallakunta, Hyderabad, Telangana 500044"
Sector korremula,
Sector musheerabad,
Sector vasanthapuri colony,
Sector kothapet,
Sector gowdavalli,
Sector west venkatapuram,"Alwal, Secunderabad, Telangana 500015"
Sector sahebnagar kalan,
Sector new bowenpally,"Bowenpally, Secunderabad, Telangana"
Sector kondakal,
Sector laxmiguda,
Sector cherlapally,"Cherlapalli, Secunderabad, Telangana"
Sector koheda,
Sector balanagar,
Sector chandrayangutta,
Sector ramakrishnapuram,"L. B. Nagar, Hyderabad, Telangana"
Sector keesara,
Sector east maruti nagar,
Sector annojiguda,
Sector nadargul,
Sector sainathapuram,
Sector velimela,
Sector kismathpur,
Sector sultanpur,
Sector muttangi,"Hyderabad, Telangana"
Sector almas guda,
Sector shaheen nagar,"Habeeb Colony, Balapur, Hyderabad, Telangana 500005"
Sector shad nagar,
Sector kishan bagh,"Hyderabad, Telangana"
Sector new nallakunta,
Sector yellamma banda,
Sector moinabad,
Sector bhongir,
Sector chengicherla,
Sector royal colony,
Sector munganoor,
Sector tappachabutra,"Syed Ali Guda, Hyderabad, Telangana 500264"
Sector shankarpally,
Sector chingicherla,
Sector mohammed nagar,
Sector tukaram gate,"Secunderabad, Telangana"
Sector upparguda,
Sector kuntloor,
Sector auronautic enclave,"Quthbullapur, Hyderabad, Telangana 500055"
Sector virat nagar,"Kanchan Bagh, Hyderabad, Telangana"
Sector rakshapuram,"Hyderabad, Telangana"
"Sector adarsh nagar,uppal","Uppal, Secunderabad, Hyderabad, Telangana"
Sector dilkushnagar,
Sector hayathnagar khalsa,
Sector sri ram nagar colony,"Laxmi Nagar, Kondapur, Hyderabad, Telangana 500084"
Sector bahadur pally,
Sector parvathapur,
Sector hafiz baba nagar,"Hyderabad, Telangana"
Sector gaddi annaram,"Hyderabad, Telangana"
Sector neredmet,
Sector patelguda,
Sector rameshwaram banda,
Sector idpl colony,
Sector tirumala nagar colony,
Sector hasthinapuram south,
Sector pedda amberpet,
Sector vayushakti nagar,"Dammaiguda, Hyderabad, Secunderabad, Telangana 500083"
Sector venkataramana colony,"Kukatpally, Hyderabad, Telangana 500085"
Sector champapet,
Sector salala barkas,
Sector mangapuram,
Sector ragannaguda,
Sector netaji nagar,"Katedhan, Hyderabad, Telangana 500052"
Sector saroor nagar,
Sector laxmiguda village,
Sector srisailam highway,"Hyderabad, Telangana"
Sector shastri puram,"Nawab Saheb Kunta, Hyderabad, Telangana"
Sector chaitanyapuri,"Kothapet, Hyderabad, Telangana 500060"
Sector ibrahimpatnam,
Sector borabanda,
Sector aghapura,
Sector pasumamula,
Sector lothkunta,
Sector yousufguda,
Sector sikh village,
Sector ram nagar,
Sector sai nagar,
Sector nagaram village,
Sector hakimpet,
Sector katedhan,
Sector mirjalguda,
Sector jillelguda,
Sector deepthisri nagar,
Sector father balaiah nagar,"Alwal, Secunderabad, Telangana 500010"
Sector kazipally,
Sector chowdhariguda,
Sector citizens colony,
Sector deluxe colony,"Janaki Nagar Colony, Toli Chowki, Hyderabad, Telangana 500008"
Sector brahmana pally,"Hyderabad, Tarur, Telangana"
Sector hyderabad to zaheerabad highway,
Sector warasiguda,
Sector kanchan bagh,"Hyderabad, Telangana"
Sector esamiya bazaar,"Koti, Hyderabad, Telangana"
"Sector royal colony,balapur","Balapur, Hyderabad, Telangana"
Sector rl nagar,
Sector rtc colony,"L. B. Nagar, Hyderabad, Telangana 500074"
Sector sheriguda,
Sector yamnampet,
Sector aushapur,
Sector saheb nagar,
Sector chintalkunta,
Sector murad nagar,"Hyderabad, Telangana 500264"
Sector wadakpally,
