Sector,Coordinates
Sector kollur,"17.4436° N, 78.2509° E"
Sector meerpet,"17.3228° N, 78.5280° E"
Sector adibatla,"17.2335° N, 78.5426° E"
Sector chikkadapally,"17.4009° N, 78.4965° E"
Sector chintal,"17.5162° N, 78.4496° E"
Sector harithavanam colony,
Sector mmts railway station lingampally,
Sector padmasri hills,"17.3563° N, 78.3954° E"
Sector kandlakoya,"17.5942° N, 78.4865° E"
Sector sri raghavendra nagar colony,"17.3434° N, 78.5305° E"
Sector masjid banda,"17.4657° N, 78.3464° E"
Sector chandragiri colony near dav school,
Sector beeramguda,"17.5185° N, 78.3038° E"
Sector vasantha nagar,"17.4953° N, 78.3857° E"
Sector ncb enclave,"17.4652° N, 78.3380° E"
Sector jntu,"17.4933° N, 78.3914° E"
Sector cooperative bank colony,"17.3704° N, 78.5625° E"
Sector gandhi nagar,"17.4130° N, 78.4902° E"
Sector badangpet,"17.3053° N, 78.5253° E"
Sector vayu sakthi nagar,"17.4544° N, 78.4028° E"
Sector safilguda,"17.4646° N, 78.5402° E"
Sector ramakrishna nagar,"17.3969° N, 78.5217° E"
Sector baba nagar housing society,
Sector balaji hills colony,"17.5116° N, 78.3789° E"
Sector brahmanwadi,"17.4377° N, 78.4645° E"
Sector ring road,
Sector ecil,"17.4775° N, 78.5543° E"
Sector mahadevpur colony,"17.5213° N, 78.4141° E"
Sector near nacharam,
Sector east anand bagh,"17.4547° N, 78.5456° E"
Sector bapu bagh colony,
Sector jodimetla,"17.4285° N, 78.6516° E"
Sector huda layout,"17.4713° N, 78.3060° E"
Sector akbar hills,"17.3497° N, 78.4190° E"
Sector prakash nagar,"17.4423° N, 78.4688° E"
Sector gori nagar,"17.4801° N, 78.4862° E"
Sector hitec city,"17.4435° N, 78.3772° E"
Sector apple avenue gated community,
Sector mettuguda,"17.4365° N, 78.5204° E"
Sector alwal,"17.4967° N, 78.5066° E"
Sector anand bagh,"17.4568° N, 78.5427° E"
Sector kapra.,"17.4885° N, 78.5682° E"
Sector jai jawahar nagar,"17.5000° N, 78.5341° E"
Sector central excise colony,"17.3968° N, 78.5192° E"
Sector sainathpuram,
Sector pragathi enclave,"17.5004° N, 78.3544° E"
Sector vaishali nagar,"17.4860° N, 78.3451° E"
Sector trimulgherry,"17.4777° N, 78.5107° E"
Sector rtc x road,"17.4026° N, 78.4933° E"
Sector golconda fort area,
Sector mettakanigudem,"17.5262° N, 78.4305° E"
Sector ramanthapur,"17.3853° N, 78.5278° E"
Sector afzal nagar,"17.3812° N, 78.5079° E"
Sector balaji nagar,"17.4824° N, 78.4077° E"
Sector raghavendra colony,"17.4716° N, 78.3600° E"
Sector whitefields,"17.4555° N, 78.3685° E"
Sector dr as rao nagar,"17.4785° N, 78.5506° E"
Sector upparpally,"17.3602° N, 78.4178° E"
Sector balapur,"17.3089° N, 78.5062° E"
Sector lingampally,"17.4837° N, 78.3158° E"
Sector sri nagar colony,"17.4294° N, 78.4383° E"
Sector vivekanandapuram colony,"17.4885° N, 78.5317° E"
Sector jaibery colony,"17.5413° N, 78.4668° E"
Sector panchavati colony,"17.4103° N, 78.3814° E"
Sector ameenpur village,"17.5238° N, 78.3229° E"
Sector 7th phase kphb,"17.4744° N, 78.3867° E"
Sector anjaneya nagar,"17.4714° N, 78.4187° E"
Sector bandari layout,"17.5204° N, 78.3847° E"
Sector bapu nagar,"17.4436° N, 78.4418° E"
Sector old bowenpally,"17.4798° N, 78.4812° E"
Sector gurram guda,"17.2945° N, 78.5665° E"
Sector dullapally,"17.5466° N, 78.4668° E"
Sector chanda nagar colony,"17.5020° N, 78.3209° E"
Sector ramkote,"17.3893° N, 78.4844° E"
Sector ol,
Sector tanasha nagar,"17.4026° N, 78.3878° E"
Sector hydershakote,"17.3630° N, 78.3896° E"
Sector attapur,"17.3667° N, 78.4285° E"
Sector teachers colony,"17.3167° N, 78.5505° E"
Sector punjagutta,"17.4254° N, 78.4505° E"
Sector mallika arjun nagar,"17.4093° N, 78.5902° E"
Sector shantinagar colony,"17.4011° N, 78.4557° E"
Sector gudimalkapur,"17.3788° N, 78.4374° E"
Sector new bhoiguda,"17.4266° N, 78.4992° E"
Sector mehdipatnam,"17.3958° N, 78.4312° E"
Sector chakripuram,"17.4829° N, 78.5873° E"
Sector qutbullapur,"17.4984° N, 78.4637° E"
Sector chandra nagar,"17.4934° N, 78.3278° E"
Sector dammaiguda,"17.5003° N, 78.5938° E"
Sector vivekananda nagar extension,"17.4924° N, 78.4169° E"
Sector humayunagar,"17.3991° N, 78.4460° E"
Sector bk guda,"17.4473° N, 78.4425° E"
Sector ratnadeep super market building,
Sector surya nagar,"17.3996° N, 78.4119° E"
Sector hmt swarnapuri colony,"17.5167° N, 78.3419° E"
Sector padma rao nagar,"17.4253° N, 78.5150° E"
Sector lingampalli,"17.4887° N, 78.3167° E"
Sector moosapet,"17.4665° N, 78.4254° E"
Sector indresham,"17.5748° N, 78.2549° E"
Sector jeedimetla,"17.5197° N, 78.4586° E"
Sector hanuman nagar,"17.4180° N, 78.5902° E"
Sector surya complex,"17.4550° N, 78.5302° E"
Sector ram reddy colony,"17.4338° N, 78.5483° E"
Sector hmt nagar,"17.4211° N, 78.5494° E"
Sector vinayak nagar,"17.4419° N, 78.3568° E"
Sector radha krishna nagar,"17.3685° N, 78.4262° E"
Sector velimala,"17.4739° N, 78.2277° E"
Sector srinivasa colony,"17.4120° N, 78.5714° E"
Sector padma nagar colony,"17.3423° N, 78.5270° E"
Sector near vasireddy swagruha foods monkey junction,
Sector kartikeya nagar,
Sector hema nagar,"17.4196° N, 78.5675° E"
Sector taramatipet,
Sector gangaram,"17.4939° N, 78.3309° E"
Sector nampally,"17.3880° N, 78.4672° E"
Sector bowenpally,"17.4686° N, 78.4811° E"
Sector new sayeedabad colony,"17.3620° N, 78.5157° E"
Sector seetharamnagar safilguda neredmet,
Sector jayabheri park,
Sector old alwal,"17.5054° N, 78.5015° E"
Sector kistareddypet,"17.5434° N, 78.2946° E"
Sector manchirevula,"17.3728° N, 78.3498° E"
Sector janapriya nagar,"17.4865° N, 78.3657° E"
Sector kakatiya hills,"17.4440° N, 78.3992° E"
Sector vengalarao nagar,"17.4426° N, 78.4391° E"
Sector charminar,"17.3616° N, 78.4747° E"
Sector kanajiguda,"17.4863° N, 78.4986° E"
Sector prashanth nagar colony,"17.4623° N, 78.3636° E"
Sector vijayanagar colony,"17.3947° N, 78.4515° E"
Sector mayuri nagar,"17.5141° N, 78.3666° E"
Sector kphb,"17.4834° N, 78.3871° E"
Sector raghvendra nagar,"17.3769° N, 78.5537° E"
Sector prashanthnagar,"17.4814° N, 78.4263° E"
Sector wampugudem,
Sector machabolaram,
Sector ahmedguda,"17.5131° N, 78.5973° E"
Sector nacharam mandal,
Sector golden heights colony,
Sector vittal rao nagar,"17.4410° N, 78.3856° E"
Sector chanakyapuri,"17.3581° N, 78.5618° E"
Sector bhavani nagar,"17.4699° N, 78.4311° E"
Sector nri colony,"17.4972° N, 78.5717° E"
Sector amberpet,"17.3920° N, 78.5163° E"
Sector hayat nagar,"17.3271° N, 78.6053° E"
Sector srinivasapuram colony,"17.3264° N, 78.5608° E"
Sector suraram,"17.5412° N, 78.4338° E"
Sector tirumala nagar,"17.3089° N, 78.5540° E"
Sector brindavan colony,"17.4067° N, 78.4077° E"
Sector resala bazar,"17.3877° N, 78.4063° E"
Sector international airport,"17.2403° N, 78.4294° E"
Sector allapur,"17.4575° N, 78.4048° E"
Sector friends colony,"17.3986° N, 78.3935° E"
Sector alkapuri colony,"17.3686° N, 78.5540° E"
Sector sai ram nagar colony,"17.3420° N, 78.5228° E"
Sector czech colony,"17.4550° N, 78.4375° E"
Sector anandbagh,"17.4568° N, 78.5427° E"
Sector samatha nagar,"17.4993° N, 78.3924° E"
Sector narasimha colony,"17.4454° N, 78.5657° E"
Sector telangana,"17.3850° N, 78.4867° E"
Sector chinthal,"17.5162° N, 78.4496° E"
Sector secunderabad,"17.4399° N, 78.4983° E"
Sector erramanzil colony,"17.4191° N, 78.4520° E"
Sector sriram nagar,"17.4618° N, 78.3551° E"
Sector golnaka,"17.3888° N, 78.5075° E"
Sector mamidipally,"17.2541° N, 78.4496° E"
Sector upperpally,"17.3602° N, 78.4178° E"
Sector sainik nagar,"17.4718° N, 78.5317° E"
Sector mallikarjuna colony,"17.4769° N, 78.4833° E"
Sector hasmatpet,
Sector prem sagar enclave,"17.4782° N, 78.4919° E"
Sector asif nagar to mehdipatnam,
Sector awho colony,"17.4651° N, 78.4969° E"
Sector west venkatapuram alwal,"17.4977° N, 78.5011° E"
Sector tirumalagiri,"17.4777° N, 78.5107° E"
Sector rr nagar,"17.4518° N, 78.4421° E"
Sector sangeet nagar,"17.4846° N, 78.4205° E"
Sector vikas nagar,"17.4675° N, 78.4605° E"
Sector suchitra to quthbullapur road,
Sector ramchandrapuram,"17.5192° N, 78.3066° E"
Sector malakpet,"17.3716° N, 78.4910° E"
Sector samathapuri colony,"17.3763° N, 78.5564° E"
Sector green valley,"17.4240° N, 78.4425° E"
Sector godavari homes,"17.5050° N, 78.4702° E"
Sector khanamet,"17.4636° N, 78.3780° E"
Sector pochamma basthi,"17.4014° N, 78.4459° E"
Sector syed ali guda,"17.3802° N, 78.4444° E"
Sector anand rao nagar,"17.5044° N, 78.5033° E"
Sector saraswati nagar,"17.3438° N, 78.5589° E"
Sector ktr colony,"17.5139° N, 78.3796° E"
Sector anitha nagar,"17.3418° N, 78.5682° E"
Sector pragathi colony,"17.3157° N, 78.4446° E"
Sector panchavati complex,"17.5135° N, 78.3876° E"
Sector redhills,"17.3964° N, 78.4681° E"
Sector pati,"17.4920° N, 78.2391° E"
Sector habeeb nagar,"17.3879° N, 78.4576° E"
Sector mohan nagar,"17.3727° N, 78.5498° E"
Sector khairatabad,"17.4106° N, 78.4652° E"
Sector vivekanand nagar,"17.4950° N, 78.4112° E"
Sector hanuman nagar colony,"17.4180° N, 78.5902° E"
Sector vijayawada highway,
Sector mg road,
Sector tilak nagar,"17.3926° N, 78.5088° E"
Sector prashanthi hills,"17.3151° N, 78.5356° E"
Sector erragadda,"17.4559° N, 78.4252° E"
Sector madhavi nagar,"17.3655° N, 78.3885° E"
Sector abhyudaya nagar,"17.3457° N, 78.3827° E"
Sector sree ram nager colony - masabtank,"17.4088° N, 78.4432° E"
Sector sri sai janachithanya colony,"17.3582° N, 78.4140° E"
Sector thumkunta,"17.5630° N, 78.5558° E"
Sector sagar ring road bairamalguda,
Sector himayatsagar,"17.3253° N, 78.3718° E"
Sector canara nagar,"17.4056° N, 78.6011° E"
Sector kundanpally,"17.4981° N, 78.6243° E"
Sector shirdi hills,"17.5050° N, 78.4203° E"
Sector durga nagar,"17.4269° N, 78.4546° E"
Sector krushi nagar,"17.4997° N, 78.3474° E"
Sector dharma reddy colony,"17.4948° N, 78.3963° E"
Sector bairamalguda,"17.3374° N, 78.5455° E"
Sector near micasa sterling villas kompally,
Sector nampally aghapura,"17.3882° N, 78.4645° E"
Sector bahadurpura,"17.3574° N, 78.4617° E"
Sector uma nagar,"17.4377° N, 78.4592° E"
Sector saidabad,"17.3574° N, 78.5112° E"
Sector dundigal,
Sector shivanand nagar,"17.3988° N, 78.5160° E"
Sector ln nagar,"17.3457° N, 78.5522° E"
Sector dattatreya colony,"17.3845° N, 78.4517° E"
Sector prasanthi nagar,"17.3966° N, 78.5100° E"
Sector srinivasa nagar,"17.4387° N, 78.4454° E"
Sector khader bagh,"17.3896° N, 78.4295° E"
Sector shamirpet,"17.5958° N, 78.5713° E"
Sector korremula,"17.4043° N, 78.6662° E"
Sector hmt nagar nacharam,"17.4211° N, 78.5494° E"
Sector krcr colony road no 6,
Sector sabza colony,"17.4052° N, 78.4077° E"
Sector madhu sudhan nagar,
Sector sai anurag colony,"17.5273° N, 78.3517° E"
Sector musheerabad,"17.4197° N, 78.4990° E"
Sector laxminagar colony,"17.3885° N, 78.4283° E"
Sector eshwaripuri colony,"17.4918° N, 78.5508° E"
Sector vasanthapuri colony,"17.4474° N, 78.5388° E"
Sector kothapet,"17.3730° N, 78.5476° E"
Sector gowdavalli,
Sector west venkatapuram,"17.4977° N, 78.5011° E"
Sector vikarabad,
Sector sahebnagar kalan,"17.3206° N, 78.5810° E"
Sector new bowenpally,"17.4596° N, 78.4780° E"
Sector lecturers colony,"17.3330° N, 78.5938° E"
Sector padmanagar phase 2,"17.4956° N, 78.4663° E"
Sector kondakal,"17.4667° N, 78.2049° E"
Sector jamai osmania,"17.4180° N, 78.5273° E"
Sector p&t colony,
Sector laxmiguda,"17.3056° N, 78.4485° E"
Sector cherlapally,"17.4695° N, 78.5968° E"
Sector koheda,"17.2810° N, 78.6385° E"
Sector balanagar,"17.4814° N, 78.4490° E"
Sector chandrayangutta,"17.3051° N, 78.4743° E"
Sector ramakrishnapuram,"17.3656° N, 78.5526° E"
Sector raviryal,
Sector new dilsukh nagar colony,"17.3732° N, 78.5265° E"
Sector hari hara puram,"17.3148° N, 78.5675° E"
Sector chiryala village,"17.5133° N, 78.6279° E"
Sector tatianaram,"17.3667° N, 78.5977° E"
Sector bhel avemachs,
Sector manchirevulu,"17.3728° N, 78.3498° E"
Sector keesara,"17.5280° N, 78.6541° E"
Sector east maruti nagar,"17.3433° N, 78.5139° E"
Sector annojiguda,"17.4359° N, 78.6622° E"
Sector qutub shahi tombs,"17.3971° N, 78.3988° E"
Sector new green city,"17.3366° N, 78.4034° E"
Sector nadargul,"17.2739° N, 78.5487° E"
Sector sainathapuram,"17.4744° N, 78.5515° E"
Sector velimela,"17.4739° N, 78.2277° E"
Sector kismathpur,"17.3380° N, 78.3826° E"
Sector hasthinapuram central,"17.3305° N, 78.5498° E"
Sector venkataramana enclave,"17.4888° N, 78.5019° E"
Sector sultanpur,"17.3752° N, 78.4875° E"
Sector muttangi,"17.5426° N, 78.2267° E"
Sector sultanpura,"17.3752° N, 78.4875° E"
Sector almas guda,"17.3125° N, 78.5363° E"
Sector shaheen nagar,"17.2971° N, 78.4782° E"
Sector rci road balapur,
Sector shad nagar,
Sector bhel employees co-operative housing society,"17.5187° N, 78.4681° E"
Sector kishan bagh,"17.3553° N, 78.4433° E"
Sector new nallakunta,"17.3991° N, 78.5017° E"
Sector dhatu nagar,"17.3264° N, 78.5164° E"
Sector old malakpet,"17.3780° N, 78.5053° E"
Sector yellamma banda,"17.5123° N, 78.4084° E"
Sector moinabad,"17.3268° N, 78.2747° E"
Sector bhongir,
Sector injapur,"17.3073° N, 78.5902° E"
Sector balkampet,"17.4420° N, 78.4510° E"
Sector quthbullapur,"17.4984° N, 78.4637° E"
Sector chengicherla,"17.4432° N, 78.5973° E"
Sector royal colony,"17.3967° N, 78.4439° E"
Sector east balaji hill colony,"17.4163° N, 78.5725° E"
Sector munganoor,"17.3027° N, 78.6101° E"
Sector thumkunta village,"17.5723° N, 78.5572° E"
Sector vayun meadows,
Sector near tkr engineering college nandhi hills,
Sector tappachabutra,"17.3784° N, 78.4461° E"
Sector shankarpally,
Sector tejaswi nagar,"17.3656° N, 78.4351° E"
Sector g v r colony,"17.3641° N, 78.6023° E"
Sector chingicherla,"17.4432° N, 78.5973° E"
Sector vignanapuri colony,"17.4836° N, 78.4223° E"
Sector nandanavanam colony,"17.3282° N, 78.5356° E"
Sector shivam road,
Sector rampally x road,"17.4936° N, 78.6056° E"
Sector panduranga nagar,"17.4592° N, 78.4256° E"
Sector venkatraya nagar,"17.5163° N, 78.3771° E"
Sector lal bazar,"17.3615° N, 78.4722° E"
Sector as rao nagar,"17.4785° N, 78.5506° E"
Sector mohammed nagar,"17.3005° N, 78.4709° E"
Sector hydeerabad,"17.3850° N, 78.4867° E"
Sector hal colony gajularamaram,"17.5243° N, 78.4294° E"
Sector quba colony,"17.2888° N, 78.4709° E"
Sector fetri,
Sector rn reddy nagar,"17.3209° N, 78.5371° E"
Sector sr naik nagar,"17.5327° N, 78.4451° E"
Sector sri sai enclave,
Sector bollaram,"17.5553° N, 78.3487° E"
Sector gokhale nagar,"17.3936° N, 78.5327° E"
Sector tukaram gate,"17.4439° N, 78.5214° E"
Sector upparguda,"17.3608° N, 78.5011° E"
Sector kuntloor,"17.3385° N, 78.6255° E"
Sector auronautic enclave,"17.5018° N, 78.4660° E"
Sector virat nagar,"17.3351° N, 78.5164° E"
Sector kalimandir bandalagua jagir,"17.3511° N, 78.3778° E"
Sector chanchalguda,"17.3689° N, 78.4965° E"
Sector rakshapuram,"17.3389° N, 78.4930° E"
Sector telephone colony,
Sector 1st phase allwyn colony,"17.5039° N, 78.4152° E"
Sector sri vasavi siva nagar colony,"17.4898° N, 78.5852° E"
Sector dilkushnagar,"17.4830° N, 78.4611° E"
Sector hayathnagar khalsa,"17.3271° N, 78.6053° E"
Sector ushodaya colony behind cmr school indira nagar gajularamaram hyderabad,
Sector silicon meadows,"17.4478° N, 78.4010° E"
Sector pnr colony,"17.5303° N, 78.3225° E"
Sector rp road,
Sector yakutpura,"17.3595° N, 78.4851° E"
Sector sri ram nagar colony,"17.4990° N, 78.3316° E"
Sector jagatgiri gutta,"17.5065° N, 78.4213° E"
Sector bahadur pally,"17.5641° N, 78.4377° E"
Sector kachavani singaram,"17.3927° N, 78.6314° E"
Sector parvathapur,"17.3979° N, 78.6200° E"
Sector prajay water front turkapally village,
Sector revenue board colony,"17.3652° N, 78.5199° E"
Sector sangareddy,"17.3850° N, 78.4867° E"
