Sector,Coordinates
"Sector marri ram reddy colony, old bowenpally",
Sector medchal & kalkal village,
"Sector meerpet, prashanthi hills",
Sector mg road,
Sector mmts railway station lingampally,
Sector mokila,"17.4393° N, 78.1849° E"
Sector mumtaz colony,
Sector murad nagar,"17.3891° N, 78.4425° E"
Sector mythri nagar,"17.4933° N, 78.3465° E"
"Sector nagaram village, rampally road",
"Sector nagarjuna nagar colony ,tarnaka","17.4254° N, 78.5407° E"
"Sector nagarjuna nagar,tarnaka","17.4254° N, 78.5407° E"
Sector nagarjuna sagar highway,
Sector nandi nagar,"17.4183° N, 78.4319° E"
Sector nandigama,"17.5078° N, 78.1993° E"
Sector near airport rci road mallapir,
Sector near micasa sterling villas kompally,
"Sector near radhika theatre, ecil",
Sector near registration office,
"Sector near rrs college, muttangi",
Sector near tea time,
Sector near tkr engineering college nandhi hills,
"Sector near tkr engineering college, raghava colony,rn reddy nagar",
Sector near vasireddy swagruha foods monkey junction,
Sector new vivekananda nagar road number 5 chinthal quthbullapur,
Sector nfc nagar,"17.3579° N, 78.4191° E"
"Sector nizampet, pragathi nagar",
"Sector nlb nagar, ida jeedimetla",
Sector ol,
Sector old mumbai highway,
Sector on requiest,
Sector p&t colony,
Sector phanigiri colony,"17.3753° N, 78.5384° E"
"Sector pochama temple, chengicherla, boduppal",
Sector pr nagar,"17.4592° N, 78.4256° E"
Sector prajay enclave. muraharipally. near sbi bank. . shameerpet,
Sector prajay water front turkapally village,
"Sector prajay water front, turkapally, shamirpet",
Sector prashanth colony,"17.4446° N, 78.4496° E"
Sector pratap singaram,
Sector previllage estates boduppal,
Sector priya colony kakaguda oppto broke bond colony,
"Sector prudential bank colony,subhash nagar,tirmulgery,secubderabad",
Sector radika to dammaiguda road,
Sector rakshapuram colony,
Sector rasoolpura,"17.4471° N, 78.4773° E"
Sector ratnadeep super market building,
Sector raviryal,
Sector rci road balapur,
Sector registration colony,"17.5095° N, 78.5469° E"
Sector ring road,
"Sector roshan colony, mailardevpally, near shastripuram",
Sector rtc colony,"17.3499° N, 78.5522° E"
Sector rtc officers colony,"17.3447° N, 78.5246° E"
Sector sadashivpet,
Sector sagar ring road,
Sector sagar ring road bairamalguda,
Sector saheb nagar,"17.3206° N, 78.5810° E"
"Sector sai krishna enclave, phase 1",
Sector saiguda,
Sector sainathpuram,
Sector sanjay gandhi nagar,"17.5163° N, 78.4404° E"
Sector sanjeeva reddy nagar,"17.4436° N, 78.4458° E"
Sector sanjeevanihills hyderguda attapur,
"Sector santosh nagar, sayeedabad, malakpet, mehdipatnam, toli chowki",
Sector saptagiri colony,"17.4963° N, 78.4159° E"
Sector sarvodaya colony,"17.3497° N, 78.5554° E"
"Sector sarvodaya nagar,meerpet","17.3247° N, 78.5244° E"
Sector sathamrai colony,"17.2696° N, 78.4155° E"
Sector sd road,
Sector secandrabad,"17.4399° N, 78.4983° E"
"Sector seetharanpet, ibrahimpatnam",
"Sector shabari gardens backside, peerzadiguda",
Sector shad nagar,
Sector shankarnagar peerzadiguda near bandi garden,
Sector shankarpally,
Sector sheriguda,"17.4760° N, 78.1940° E"
"Sector simhapuri colony, bowrampet, pragathi nagar, bachupally",
Sector sita homes colony,
Sector sitaram bagh,"17.3807° N, 78.4606° E"
Sector sree kanakadurga nagar phase 3,
"Sector sree rama colony, perzadiguda","17.3930° N, 78.6011° E"
Sector sri sai enclave,
"Sector sri sai nagar colony, boduppal",
"Sector sri srinivas officers col, kapra",
"Sector sri venkata sai enclave ,nizampet",
"Sector srinivasapuram,ramanthapur,hyderabad,telangana",
Sector srisailam highway,
"Sector srujana laxmi nagar phase 2,patel guda.",
Sector suchitra to quthbullapur road,
Sector sumitra nagar colony,"17.4898° N, 78.4105° E"
Sector surya nagar colony old alwal,
Sector tara nagar,"17.4931° N, 78.3181° E"
Sector taramatipet,
Sector tatianaram,
Sector telephone colony,
Sector tellpur osmannagar,
Sector tukkuguda,
Sector turkapally,
Sector udayagiri colony bahadurpally,
"Sector uma nagar,mr.reddy colony, medchal",
Sector uppal preezadiguda,"17.4064° N, 78.5932° E"
"Sector uppal, medipally",
Sector ushodaya colony behind cmr school indira nagar gajularamaram hyderabad,
Sector usman nagar,"17.4416° N, 78.2785° E"
"Sector vaishnavi enclave, kapra",
Sector vanasthali puram,"17.3317° N, 78.5754° E"
Sector vayu puri,"17.4845° N, 78.5441° E"
Sector vayun meadows,
Sector vayushakti nagar,
Sector velly view enclave,"17.3501° N, 78.3984° E"
"Sector venkateshwara colony,saroor nagar","17.3550° N, 78.5334° E"
Sector venkateswara colony near sv snr county,
"Sector venkateswara colony, saroor nagar","17.3550° N, 78.5334° E"
"Sector vidyanagar, nallakunta","17.4019° N, 78.5075° E"
Sector vijayawada highway,
Sector vikarabad,
Sector vishali nagar,"17.4860° N, 78.3451° E"
Sector wadakpally,"17.5632° N, 78.2967° E"
Sector wampugudem,"17.5030° N, 78.5642° E"
Sector want sale,
Sector yamnampet,
Sector zaheerabad,
